Construct;PercentHead;Time
GFP;99,9469;8
GFP;99,9574;8
GFP;99,9709;8
GFP;99,9769;8
GFP;99,9906;8
GFP;99,9917;8
GFP;99,9928;8
GFP;99,993;8
GFP;99,9936;8
GFP;99,9936;8
GFP;99,9944;8
GFP;99,9945;8
GFP;99,9946;8
GFP;99,9947;8
GFP;99,9947;8
GFP;99,995;8
GFP;99,995;8
GFP;99,9951;8
GFP;99,9953;8
GFP;99,9958;8
GFP;99,9959;8
GFP;99,9961;8
GFP;99,9962;8
GFP;99,9965;8
GFP;99,9968;8
GFP;99,9968;8
GFP;99,9972;8
GFP;99,9976;8
GFP;99,9992;8
GFP;71,6512;2
GFP;79,3694;2
GFP;80,3025;2
GFP;84,8865;2
GFP;85,1551;2
GFP;85,288;2
GFP;86,1633;2
GFP;86,5347;2
GFP;87,9925;2
GFP;88,2342;2
GFP;88,3487;2
GFP;88,5499;2
GFP;89,4312;2
GFP;90,5115;2
GFP;90,9017;2
GFP;90,973;2
GFP;91,2467;2
GFP;91,6294;2
GFP;91,7761;2
GFP;91,8285;2
GFP;91,9101;2
GFP;91,9445;2
GFP;92,0238;2
GFP;92,0525;2
GFP;92,1662;2
GFP;92,1749;2
GFP;92,3258;2
GFP;92,4095;2
GFP;92,4882;2
GFP;92,5299;2
GFP;92,608;2
GFP;92,6275;2
GFP;92,6486;2
GFP;92,8598;2
GFP;93,0023;2
GFP;93,1205;2
GFP;93,1912;2
GFP;93,2058;2
GFP;93,3194;2
GFP;93,3718;2
GFP;93,3798;2
GFP;93,3799;2
GFP;93,4649;2
GFP;93,4811;2
GFP;93,5005;2
GFP;93,5115;2
GFP;93,6967;2
GFP;93,7004;2
GFP;93,7416;2
GFP;93,7646;2
GFP;93,7755;2
GFP;93,8197;2
GFP;93,8275;2
GFP;93,8453;2
GFP;93,8469;2
GFP;93,9339;2
GFP;93,9339;2
GFP;93,9485;2
GFP;93,9777;2
GFP;94,0316;2
GFP;94,0435;2
GFP;94,0778;2
GFP;94,0879;2
GFP;94,1014;2
GFP;94,1311;2
GFP;94,15;2
GFP;94,1843;2
GFP;94,2055;2
GFP;94,2281;2
GFP;94,2387;2
GFP;94,2435;2
GFP;94,2468;2
GFP;94,2789;2
GFP;94,2867;2
GFP;94,3468;2
GFP;94,3553;2
GFP;94,3569;2
GFP;94,3634;2
GFP;94,3982;2
GFP;94,3997;2
GFP;94,5151;2
GFP;94,5644;2
GFP;94,566;2
GFP;94,5754;2
GFP;94,6674;2
GFP;94,6773;2
GFP;94,6859;2
GFP;94,7032;2
GFP;94,743;2
GFP;94,7461;2
GFP;94,7632;2
GFP;94,7756;2
GFP;94,7815;2
GFP;94,8195;2
GFP;94,859;2
GFP;94,8981;2
GFP;94,9378;2
GFP;94,939;2
GFP;94,951;2
GFP;94,9774;2
GFP;94,9869;2
GFP;95,007;2
GFP;95,0385;2
GFP;95,0385;2
GFP;95,1012;2
GFP;95,1047;2
GFP;95,1182;2
GFP;95,1258;2
GFP;95,1294;2
GFP;95,1327;2
GFP;95,1788;2
GFP;95,1876;2
GFP;95,2077;2
GFP;95,2284;2
GFP;95,2638;2
GFP;95,3366;2
GFP;95,351;2
GFP;95,3663;2
GFP;95,3805;2
GFP;95,4241;2
GFP;95,4366;2
GFP;95,4586;2
GFP;95,4733;2
GFP;95,4896;2
GFP;95,49;2
GFP;95,5263;2
GFP;95,5432;2
GFP;95,5641;2
GFP;95,5722;2
GFP;95,6058;2
GFP;95,6073;2
GFP;95,6075;2
GFP;95,6093;2
GFP;95,6358;2
GFP;95,6512;2
GFP;95,6531;2
GFP;95,6875;2
GFP;95,697;2
GFP;95,7218;2
GFP;95,7362;2
GFP;95,7396;2
GFP;95,7426;2
GFP;95,7615;2
GFP;95,7615;2
GFP;95,7759;2
GFP;95,7785;2
GFP;95,7812;2
GFP;95,7897;2
GFP;95,7912;2
GFP;95,8023;2
GFP;95,8164;2
GFP;95,8227;2
GFP;95,8326;2
GFP;95,8355;2
GFP;95,8618;2
GFP;95,8861;2
GFP;95,9015;2
GFP;95,906;2
GFP;95,9092;2
GFP;95,9161;2
GFP;95,9188;2
GFP;95,9228;2
GFP;95,9236;2
GFP;95,9264;2
GFP;95,9289;2
GFP;95,9329;2
GFP;95,9407;2
GFP;95,9426;2
GFP;95,9606;2
GFP;95,9881;2
GFP;96,0098;2
GFP;96,0323;2
GFP;96,0631;2
GFP;96,0737;2
GFP;96,0822;2
GFP;96,0941;2
GFP;96,1121;2
GFP;96,1136;2
GFP;96,1166;2
GFP;96,1405;2
GFP;96,1429;2
GFP;96,1614;2
GFP;96,174;2
GFP;96,1779;2
GFP;96,185;2
GFP;96,2181;2
GFP;96,2207;2
GFP;96,2409;2
GFP;96,2423;2
GFP;96,2513;2
GFP;96,2524;2
GFP;96,2658;2
GFP;96,3183;2
GFP;96,3209;2
GFP;96,3271;2
GFP;96,3448;2
GFP;96,3599;2
GFP;96,3905;2
GFP;96,4003;2
GFP;96,4273;2
GFP;96,4409;2
GFP;96,4462;2
GFP;96,4775;2
GFP;96,4917;2
GFP;96,4945;2
GFP;96,5235;2
GFP;96,5284;2
GFP;96,5317;2
GFP;96,5363;2
GFP;96,5462;2
GFP;96,5497;2
GFP;96,5614;2
GFP;96,5658;2
GFP;96,577;2
GFP;96,5952;2
GFP;96,6122;2
GFP;96,6129;2
GFP;96,6145;2
GFP;96,6199;2
GFP;96,6266;2
GFP;96,632;2
GFP;96,6356;2
GFP;96,6626;2
GFP;96,6648;2
GFP;96,719;2
GFP;96,7196;2
GFP;96,7473;2
GFP;96,7671;2
GFP;96,7732;2
GFP;96,7824;2
GFP;96,7883;2
GFP;96,7952;2
GFP;96,8093;2
GFP;96,8219;2
GFP;96,8249;2
GFP;96,8372;2
GFP;96,8421;2
GFP;96,8447;2
GFP;96,8449;2
GFP;96,8761;2
GFP;96,9131;2
GFP;96,952;2
GFP;96,9674;2
GFP;96,9976;2
GFP;97,0076;2
GFP;97,0183;2
GFP;97,0311;2
GFP;97,0386;2
GFP;97,0405;2
GFP;97,0418;2
GFP;97,0462;2
GFP;97,0472;2
GFP;97,0757;2
GFP;97,1106;2
GFP;97,1224;2
GFP;97,126;2
GFP;97,127;2
GFP;97,1306;2
GFP;97,1325;2
GFP;97,163;2
GFP;97,1948;2
GFP;97,2013;2
GFP;97,2028;2
GFP;97,2116;2
GFP;97,214;2
GFP;97,2271;2
GFP;97,2351;2
GFP;97,2499;2
GFP;97,2798;2
GFP;97,2971;2
GFP;97,2984;2
GFP;97,3002;2
GFP;97,3145;2
GFP;97,3349;2
GFP;97,3558;2
GFP;97,3749;2
GFP;97,3971;2
GFP;97,4043;2
GFP;97,407;2
GFP;97,4079;2
GFP;97,4142;2
GFP;97,4242;2
GFP;97,4335;2
GFP;97,4415;2
GFP;97,4554;2
GFP;97,4605;2
GFP;97,4628;2
GFP;97,4665;2
GFP;97,5094;2
GFP;97,514;2
GFP;97,5145;2
GFP;97,5215;2
GFP;97,535;2
GFP;97,5404;2
GFP;97,5408;2
GFP;97,5451;2
GFP;97,5473;2
GFP;97,5535;2
GFP;97,5557;2
GFP;97,5772;2
GFP;97,5778;2
GFP;97,5996;2
GFP;97,6021;2
GFP;97,6052;2
GFP;97,6264;2
GFP;97,6297;2
GFP;97,6404;2
GFP;97,6568;2
GFP;97,6657;2
